region 1, region 2, terrain
adr,alb,sea
adr,apu,sea
adr,ion,sea
adr,tri,sea
adr,ven,sea
aeg,bul(sc),sea
aeg,con,sea
aeg,eas,sea
aeg,gre,sea
aeg,ion,sea
aeg,smy,sea
alb,gre,coast
alb,ion,sea
alb,tri,coast
ank,arm,coast
ank,bla,sea
ank,con,coast
ank,smy,land
apu,ion,sea
apu,nap,coast
apu,rom,land
apu,ven,coast
arm,bla,sea
arm,sev,coast
arm,smy,land
arm,syr,land
bal,ber,sea
bal,bot,sea
bal,den,sea
bal,kie,sea
bal,lvn,sea
bal,pru,sea
bal,swe,sea
bar,nwg,sea
bar,nwy,sea
bar,stp(nc),sea
bel,bur,land
bel,eng,sea
bel,hol,coast
bel,nth,sea
bel,pic,coast
bel,ruh,land
ber,kie,coast
ber,mun,land
ber,pru,coast
ber,sil,land
bla,sev,sea
bla,bul(ec),sea
bla,con,sea
bla,rum,sea
bre,eng,sea
bre,mao,sea
bre,gas,coast
bre,par,land
bre,pic,coast
boh,gal,land
boh,mun,land
boh,sil,land
boh,tyr,land
boh,vie,land
bud,gal,land
bud,rum,land
bud,ser,land
bud,tri,land
bud,vie,land
bul,con,land
bul,gre,land
bul,rum,land
bul,ser,land
bul(ec),con,sea
bul(ec),rum,sea
bul(sc),con,sea
bul(sc),gre,sea
bur,gas,land
bur,mar,land
bur,mun,land
bur,par,land
bur,pic,land
bur,ruh,land
cly,edi,coast
cly,lvp,coast
cly,nao,sea
cly,nwg,sea
con,smy,land
den,hel,sea
den,kie,coast
den,nth,sea
den,ska,sea
den,swe,coast
eas,ion,sea
eas,smy,sea
eas,syr,sea
edi,lvp,land
edi,nth,sea
edi,nwg,sea
edi,yor,coast
eng,iri,sea
eng,lon,sea
eng,mao,sea
eng,nth,sea
eng,pic,sea
eng,wal,sea
fin,nwy,land
fin,stp,land
fin,stp(sc),sea
fin,swe,coast
gal,rum,land
gal,sil,land
gal,vie,land
gal,war,land
gas,mao,sea
gas,mar,land
gas,par,land
gas,spa,land
gas,spa(nc),sea
gre,ion,sea
gre,ser,land
hel,hol,sea
hel,kie,sea
hel,nth,sea
hol,nth,sea
hol,kie,coast
hol,ruh,land
ion,nap,sea
ion,tun,sea
ion,tys,sea
iri,eng,sea
iri,lvp,sea
iri,mao,sea
iri,nao,sea
iri,wal,sea
kie,mun,land
kie,ruh,land
lon,nth,sea
lon,wal,coast
lon,yor,coast
lvn,mos,land
lvn,pru,coast
lvn,stp,land
lvn,stp(sc),sea
lvp,nao,sea
lvp,wal,coast
lvp,yor,land
lyo,mar,sea
lyo,pie,sea
lyo,spa(sc),sea
lyo,tus,sea
lyo,tys,sea
lyo,wes,sea
mar,pie,coast
mar,spa,land
mar,spa(sc),sea
mao,nao,sea
mao,por,sea
mao,spa(nc),sea
mao,naf,sea
mao,wes,sea
mos,sev,land
mos,stp,land
mos,ukr,land
mos,war,land
mun,ruh,land
mun,sil,land
mun,tyr,land
naf,tun,coast
naf,wes,sea
nao,nwg,sea
nap,rom,coast
nap,tys,sea
nth,nwg,sea
nth,nwy,sea
nth,ska,sea
nth,yor,sea
nwg,nwy,sea
nwy,ska,sea
nwy,swe,coast
par,pic,land
pie,tus,coast
pie,tyr,land
pie,ven,land
por,spa,land
por,spa(nc),sea
por,spa(sc),sea
pru,sil,land
pru,war,land
rom,tus,coast
rom,tys,sea
rom,ven,land
rum,ser,land
rum,sev,coast
rum,ukr,land
ser,tri,land
sev,ukr,land
sil,war,land
ska,swe,sea
smy,syr,coast
spa(sc),wes,sea
tri,tyr,land
tri,ven,coast
tri,vie,land
tun,tys,sea
tun,wes,sea
tus,ven,land
tyr,ven,land
tyr,vie,land
tys,wes,sea
wal,yor,land